e,link,name,shortname,slides,descriptionText,descriptionLength,descriptionSource,descriptionLink,descriptionRelevance,bizwindowTitle,bizwindowImage,bizwindowAlt,bizwindowReference,bizwindowLink
64,mount-rainier-national-park,Mount Rainier National Park,Mount Rainier,6,"Mount Rainier, at 14,410 feet, is the most prominent peak in the Cascade Range. The mountain stands nearly three miles higher than the lowlands to the west and one and one-half miles higher than the adjacent mountains. The volcano, which last erupted approximately 150 years ago, is encased in over 35 square miles of snow and ice. The park's total area is 235,625 acres, of which 97% is designated Wilderness. In addition to the mountain, the park contains outstanding examples of old growth forests and subalpine meadows. The park contains 26 named glaciers across 9 major watersheds, with 382 lakes and 470 rivers and streams and over 3,000 acres of other wetland types. The park is part of a complex ecosystem. Vegetation is diverse, reflecting the varied climatic and environmental conditions encountered across the park’s 12,800-feet elevation gradient. Approximately 58 percent of the park is forested, 23 percent is subalpine parkland, and the remainder is alpine, half of which is vegetated and the other half consists of permanent snow and ice. Forest ages range from less than 100 years old on burned areas and moraines left by receding glaciers to old-growth stands 1,000 or more years. Some alpine heather communities have persisted in the park for up to 10,000 years.",1281,Wikivoyage,https://en.wikivoyage.org/wiki/Mount_Rainier_National_Park,,,mount-rainier-national-park-5,"Silver Phase Cascade Fox, an alpine subspecies of the Red Fox, Mount Rainier National Park, Washington; Pacific Northwest wildlife / animal / nature / outdoors / recreation ""Silver Fox""",Wikivoyage,https://en.wikivoyage.org/wiki/Mount_Rainier_National_Park
65,nambung-national-park,Nambung National Park,Nambung,3,"Nambung National Park is a national park in the Wheatbelt region of Western Australia, 200 km northwest of Perth, Australia and 17 km south of the small coastal town of Cervantes. The park contains the Pinnacles Desert which is an area with thousands of limestone formations called pinnacles. The park derives its name from an indigenous Australian word possibly meaning crooked or winding. The word was first used in 1938 when naming the Nambung River which flows into the park and disappears into a cave system within the limestone. The Yued people are the acknowledged traditional custodians of the land since before the arrival of Europeans. Nambung National Park also contains beaches at Kangaroo Point and Hangover Bay, as well as coastal dunes and flowering plants in low heathland areas. A boardwalk in the northern area of the park at Lake Thetis allows visitors to view thrombolites which, like stromatolites, are structures built by micro-organisms, especially cyanobacteria. Some of the fossilized thrombolites have been dated to 3.6 billion years old. The Pinnacles Desert Discovery Centre features exhibits about the geology of the pinnacles formations and the cultural and natural heritage values of the area.",1227,Wikipedia,https://www.wikiwand.com/en/Nambung_National_Park,,,nambung-national-park-2,"Limestone formations glowing red at last light in the Pinnacles desert in Nambung National Park, Western Australia",Wikipedia,https://www.wikiwand.com/en/Nambung_National_Park
66,napali-coast-state-wilderness-park,Nāpali Coast State Wilderness Park,Nāpali Coast,2,"The Nā Pali Coast State Park is a 6,175 acres (2,499 ha) Hawaiian state park located in the center of the rugged 16 miles (26 km) along the northwest side of Kauaʻi, the oldest inhabited Hawaiian island. The Nā Pali coast itself extends southwest starting at Keʻe Beach extending all the way to Polihale State Park. The na pali (high cliffs) along the shoreline rise as much as 4,000 feet (1,200 m) above the Pacific Ocean. The state park was formed to protect the Kalalau Valley. To the east of the state park is the Hono O Nā Pali State Natural Reserve. It was established in 1983, and then extended to over 3,578 acres (14.5 km2) in 2009. Hiking trails and hunters roads have access to the sharp ridges from Koke'e Road (route 550) in Waimea Canyon.",755,Wikipedia,https://www.wikiwand.com/en/N%C4%81_Pali_Coast_State_Park,,,napali-coast-state-wilderness-park-2,Helicopter ride in drmatic deep canyon,Wikipedia,https://www.wikiwand.com/en/N%C4%81_Pali_Coast_State_Park
67,ngorongoro-conservation-area,Ngorongoro Conservation Area,Ngorongoro,2,"Ngorongoro Conservation Area is a park and UNESCO World Heritage site in the Northeast Tanzania. It contains an old volcano that has collapsed and formed a crater (caldera). The steep sides of the crater have become a natural enclosure for a wide variety of wildlife. The Ngorongoro Crater is essentially and ancient collapsed volcano. It is a natural ""utopia"" for East African wildlife, and thus is rich in a wide diversity of animals. Roughly 100 square miles (260 km²) of savanna is completely encircled by a mountainous ring which is covered in dense jungles. Lions are in the highest density in the world in the crater, so there is a good chance of seeing them. There are herds of wildebeest, zebra, and a lot of buffalo and Grants' gazelles too. This is one of the best places in East Africa to see a Black Rhino. Hippos and flamingos are seen in Lake Magadi. Hyenas are a common predator, and cheetahs are frequently seen. Leopards are in the conservation area but rarely seen, along with Wild Dogs.",1006,Wikivoyage,https://en.wikivoyage.org/wiki/Ngorongoro_Conservation_Area,,,ngorongoro-conservation-area-2,"The caracal (Caracal caracal) is a medium-sized wild cat native to Africa, the Middle East, Central Asia and India. I captured this elusive wild cat resting under an Acacia tree in Ngorongoro crater",Wikivoyage,https://en.wikivoyage.org/wiki/Ngorongoro_Conservation_Area
68,pantanal-matogrossense-national-park,Pantanal Matogrossense National Park,Pantanal Matogrossense,2,"The park is classed as IUCN protected area category II (national park). The park's basic objective is preservation of natural ecosystems of great ecological relevance and scenic beauty and enabling scientific research, environmental education, outdoor recreation and ecological tourism. The park was listed as a ""Wetland of International Importance"" under the Ramsar Convention in 1993. Protected species include jaguar (Panthera onca), ocelot (Leopardus pardalis), marsh deer (Blastocerus dichotomus), giant anteater (Myrmecophaga tridactyla), giant armadillo (Priodontes maximus), giant otter (Pteronura brasiliensis), chestnut-bellied guan (Penelope ochrogaster), black-and-tawny seedeater (Sporophila nigrorufa) and the mussel Lamproscapha ensiformis.",755,Wikipedia,https://www.wikiwand.com/en/Pantanal_Matogrossense_National_Park,,,pantanal-matogrossense-national-park-2,"A lot of Yacare Cayman. Transpantaneira road, pantanal matogrossense. POCONE, MATO GROSSO, BRAZIL.",Wikipedia,https://www.wikiwand.com/en/Pantanal_Matogrossense_National_Park
69,rapa-nui-national-park,Rapa Nui National Park,Rapa Nui,3,"Easter Island (Spanish: Isla de Pascua, Rapa Nui: Rapa Nui) is one of the most isolated islands on Earth. Early settlers called the island ""Te Pito O Te Henua"" (Navel of the World). It is a territory of Chile that lies far off in the Pacific Ocean, roughly halfway to Tahiti. Known as one of the world's sacred sites, it is most famous for its enigmatic giant stone statues or Moai whose oversized heads, carved centuries ago, reflect the history of the dramatic rise and fall of the most isolated Polynesian culture. The English name of the island commemorates its European discovery by a Dutch exploration vessel on Easter Sunday in 1722. After Thor Heyerdahl and a small party of adventurers sailed their raft from South America to the Tuamotu islands, far to the north of Easter Island, a controversy raged over the origin of the islanders. DNA testing has proved conclusively that the Polynesians arrived from the west rather than the east, and that the people of Easter Island are descendants of intrepid voyagers who set out from another island thousands of years ago. Legend says that the people left for Easter Island because their own island was slowly being swallowed by the sea.",1190,Wikivoyage,https://en.wikivoyage.org/wiki/Easter_Island,,,rapa-nui-national-park-2,"Ana Kakenga Cave, Rapa Nui National Park, Easter Island, Chile",Wikivoyage,https://en.wikivoyage.org/wiki/Easter_Island
70,sarek-national-park,Sarek National Park,Sarek,3,"Sarek National Park (Swedish: Sareks nationalpark) is a national park in Jokkmokk Municipality, Lapland in northern Sweden. Established in 1909–1910, the park is one of the oldest national parks in Europe. It is adjacent to two other national parks, namely Stora Sjöfallet and Padjelanta. The shape of Sarek National Park is roughly circular with an average diameter of about 50 km (31.07 mi). The most noted features of the national park are six of Sweden's thirteen peaks over 2,000 m (6,600 ft) located within the park's boundaries. Among these is the second highest mountain in Sweden, Sarektjåkkå, whilst the massif Áhkká is located just outside the park. The park has about 200 peaks over 1,800 m (5,900 ft), 82 of which have names. Sarek is also the name of a geographical area which the national park is part of. The Sarek mountain district includes a total of eight peaks over 2,000 m (6,600 ft). Due to the long trek, the mountains in the district are seldom climbed. There are approximately 100 glaciers in Sarek National Park.",1038,Wikipedia,https://www.wikiwand.com/en/Sarek_National_Park,,,sarek-national-park-3,Two illuminated Tents under Northern Lights in the Mountains of Sweden,Wikipedia,https://www.wikiwand.com/en/Sarek_National_Park
71,seoraksan-national-park,Seoraksan National Park ,Seoraksan,4,"Seoraksan National Park (설악산국립공원), also spelled Soraksan, is a national park in Gangwon, South Korea. Located in the relativally remote north-east of the country, the Seoraksan National Park covers an area of 400 km2 and is known as the backbone of Korea, and offers a great deal of scenery with its mountains, cliffs and waterfalls. The mountains have multiple hiking courses, valleys, and cultural artifacts hidden in each valley, and are internationally renowned as a habitat for rare plants and animals. UNESCO designated the region in 1992 as a Biosphere Reserve. The main attraction of the Seoraksan national park is Seorak Mountain, also referred to as Seolsan and Seolbongsan. The name of the mountain, Seor-ak, refers to its size ('ak' meaning 'big') and the white, snowy color of its peak ('seor' or 'seol'), since its snow would not easily melt, keeping its high altitude rocks in a permanent state of white.",919,Wikivoyage,https://en.wikivoyage.org/wiki/Seoraksan_National_Park,,,seoraksan-national-park-3,"Big Buddha Monument of Sinheungsa Temple in Seoraksan National Park, Sokcho, South Korea",Wikivoyage,https://en.wikivoyage.org/wiki/Seoraksan_National_Park
72,sequoia-and-kings-canyon-national-park,Sequoia and Kings Canyon National Park,Sequoia and Kings Canyon,3,"Although technically they are two separate national parks, Sequoia and Kings Canyon generally operate as a single unit in many ways. One fee (US $5 per person or US $20 per private vehicle) allows entrance to both parks. The combined area of these two parks is 865,952 acres (3,504 km²) with most of that area being wilderness backcountry. The altitiude in the parks range from 1,300 feet (418m) to 14,505 ft (4421 m). The front country area can be divided into basic areas: The Foothills, Giant Forest, Mineral King, Grant Grove, and Kings Canyon and Cedar Grove. Sequoia is named for its groves of Sequoia trees, the largest trees known, and Kings Canyon is named for the deep valley of the Kings River. Extreme topographic differences and a striking elevation gradient (ranging from 1,360 feet (412 m) in the foothills to 14,494 feet (4,417 m) along the Sierran crest) create a rich tapestry of environments, from the hot, dry lowlands along the western boundary to the stark and snow-covered alpine high country.",1016,Wikivoyage,https://en.wikivoyage.org/wiki/Sequoia_and_Kings_Canyon_National_Parks,,,sequoia-and-kings-canyon-national-park-2,"Snow Capped Mountains, Sequoia National Park",Wikivoyage,https://en.wikivoyage.org/wiki/Sequoia_and_Kings_Canyon_National_Parks
73,sierra-de-la-macarena-national-park,Sierra de La Macarena National Park,Serranía de La Macarena,2,"Serranía de la Macarena is an isolated mountain range located in the Meta Department, Colombia. It was named after the Virgin of Hope of Macarena. The mountains are separated by about 40 km (25 mi) at their northern extreme from the East Andes. The range is orientated from north to south and is 120 km (75 mi) in length and 30 km (19 mi) wide. The highest peak (""El Gobernador"", the governor) reaches 2,615 m (8,579 ft) and is the highest point of the Orinoquía Region. The first national reserve in Colombia was established in the central part of the mountain range in accordance with a Congressional Law promulgated in 1948. The status of National Natural Park was designated in 1971 and the protected area encompasses 6,200 km2 (2,400 sq mi).",749,Wikipedia,https://www.wikiwand.com/en/Serran%C3%ADa_de_la_Macarena,,,sierra-de-la-macarena-national-park-2,"Cano Cristales (River of five colors), La Macarena, Meta, Colombia",Wikipedia,https://www.wikiwand.com/en/Serran%C3%ADa_de_la_Macarena
74,snowdonia-national-park,Snowdonia National Park,Snowdonia,6,"Snowdonia National Park (Parc Cenedlaethol Eryri in Welsh) is like a little slice of the Alps tucked above the rolling moors and hills of North Wales. Lakes, castles, waterfalls, and steam railways create a surreal experience right out of Lord of the Rings. Local signs are often both English and Welsh and many aspects of traditional Welsh life, including food, clothing, and crafts, are still to be found. The region is very popular for hiking, mountaineering, white-water kayaking, and other outdoor pursuits. It features Snowdon, the highest mountain in Wales at 1,085 m (3,560 feet).",588,Wikivoyage,https://en.wikivoyage.org/wiki/Snowdonia_National_Park,,,snowdonia-national-park-5,Climbing on Crib Goch,Wikivoyage,https://en.wikivoyage.org/wiki/Snowdonia_National_Park
75,south-downs-national-park,South Downs National Park,South Downs,2,"The South Downs is a national park in South East England. The park comprises of an area of chalk upland whch stretches from Winchester in Hampshire, through West Sussex to Eastbourne in East Sussex. The energetic can walk the entire length using the South Downs Way. The eastern end finishes at the sea from east of Brighton Marina to Eastbourne. The section of cliffs from Brighton to Seaford is largely built on, although the cliffs west of Newhaven (River Ouse) are noteworty for being overlaid by Tertiary sand. The South Downs passes through the counties of East Sussex, West Sussex and Hampshire. The downs are more open, bare and rounded east of the River Adur at Shoreham, and more wooded west of the Adur. Into Hampshire, the downs lose the steep north-facing escarpment characteristic of the downs in Sussex. Each part has its own beauty.",848,Wikivoyage,https://en.wikivoyage.org/wiki/South_Downs,,,south-downs-national-park-2,"Sunrise over the South Downs National Park, behind a tree silhouette on a cold winter's morning in December, Sussex, England, UK",Wikivoyage,https://en.wikivoyage.org/wiki/South_Downs
76,stone-forest-scenic-area,Stone Forest Scenic Area,Stone Forest,2,"The tall rocks seem to arise from the ground in a manner somewhat reminiscent of stalagmites, or with many looking like petrified trees, thereby creating the illusion of a forest made of stone. These formations, caused by the erosion of limestone, are believed to be over 270 million years old and are a tourist attraction for both overseas and domestic tourists, with bus tours bringing tourists from Kunming. There are also a number of hotels in the area. According to legend, the forest is the birthplace of Ashima (阿诗玛), a beautiful girl of the Yi people. After falling in love she was forbidden to marry her chosen suitor and instead turned into a stone in the forest that still bears her name. Each year on the 24th day of the sixth lunar month, many Yi people celebrate the Torch Festival (火把节 Huǒbă Jié), which features folk dances and wrestling competitions.",870,Wikipedia,https://www.wikiwand.com/en/Stone_Forest,,,stone-forest-scenic-area-2,"A narrow corridor inside the beautiful limestone formation at Kunming Stone forest or Shilin, a UNESCO World Heritage Sites, Yunnan China.",Wikipedia,https://www.wikiwand.com/en/Stone_Forest
77,tassili-najjer,Tassili n'Ajjer,Tassili n'Ajjer,5,"The Tassili n'Ajjer mountain range gained world fame after the discovery of ancient rock art in the 1930s. Over the years, more than 15000 petroglyphs and paintings were identified, as were a great number of archeological remains. With numerous stone tools and artifacts, ceramics, burial mounds, enclosures and general habitational remains, Tassili n'Ajjer has provided archeologists with a wealth of information about life in the region in Neolithic times. Therefore​, it is considered one of the most important sites of prehistoric cave art in the world. As if all of that wasn't enough, Tassili n'Ajjer Cultural Park boast some stunning Saharan landscapes. Today, the massive Tassili itself is as good as uninhabited but the park attracts a good number of tourists and researchers alike. Although the magnificent archeological treasures are the centre point of attention, the landscapes of Tassili n'Ajjer alone make a visit more than worthwhile. Centuries of changing climates and erosion have resulted in stunning geological formations of eroded sandstone rocks, creating an almost lunar landscape with so-called ""rock forests"" often reaching as far the eye can see. To see the most of the parks natural panoramas requires multiple day trips, but the majestic canyons and countless arches - most without official names - make up for all efforts you'll have to make.",1371,Wikivoyage,https://en.wikivoyage.org/wiki/Tassili_n%27Ajjer_Cultural_Park,,,tassili-najjer-2,"Famous prehistoric rock paintings of Tassili N'Ajjer, Algeria",Wikivoyage,https://en.wikivoyage.org/wiki/Tassili_n%27Ajjer_Cultural_Park
78,teide-national-park,Teide National Park,Teide,5,"Teide National Park occupies the highest part of the island of Tenerife and Spain (Canary Islands). Declared January 22, 1954 Teide National Park, one is the largest and oldest national park in the Canary Islands and the third oldest in Spain. In 2007 it was declared a World Heritage Site by UNESCO and since then the Teide National Park has been considered one of the 12 Treasures of Spain. Teide National Park was in 2008 the most visited national park of four at their disposal the Canary Islands with a total of 2.8 million visitors, according to the Instituto Canario de Estadística (ISTAC) and is also the most visited national park in Spain, the most visited in Europe and second in the world with 3,142,148 visitors in 2007. The main sight is Spain's highest mountain, the Teide volcano, rising 3,718 m (12,198 ft) over the sea level.",843,Wikivoyage,https://en.wikivoyage.org/wiki/Teide_National_Park,,,teide-national-park-4,"Beautiful view of male tourist hiking on remote hiking trail in scenic volcanic mountain scenery with unique rock formations on a sunny day with blue sky and clouds in summer, Canary Islands, Spain",Wikivoyage,https://en.wikivoyage.org/wiki/Teide_National_Park
79,tobago-cays-marine-park,Tobago Cays Marine Park,Tobago Cays,2,"The Tobago Cays are an archipelago located in the Southern Grenadines comprising five small islands and extensive coral reefs. The cays - Petit Rameau, Petit Bateau, Baradal, Petit Tabac and Jamesby - are all uninhabited and are a popular tourism destination. The most extensive and well-developed coral reef complexes in Saint Vincent and the Grenadines occur on shallow shelves around the windward sides of Mayreau and Union Islands and the Cays themselves. In addition, principal vegetation types include beach vegetation and dry forest. With the exception of a small mangrove in Petit Rameau and salt pond in Mayreau, there are no wetlands in the Cays.",656,Wikpedia,https://www.wikiwand.com/en/Tobago_Cays,,,tobago-cays-marine-park-2,Sea Star,Wikpedia,https://www.wikiwand.com/en/Tobago_Cays
80,tongariro-national-park,Tongariro National Park,Tongariro,6,"Dominating the landscape are the three volcanoes of Ruapehu (2797 m), Ngauruhoe (2291 m) and Tongariro (1967 m). Geologically, Ngauruhoe is a secondary vent of Tongariro but is otherwise universally accepted as a separate mountain. All are active, with Tongariro last erupting in November 2012, Ruapehu in 2007 and Ngauruhoe in 1977. Ruapehu also has a crater lake which can occasionally overflow into nearby rivers and create lahars; on Christmas Eve 1953, 151 people were killed when one such overflow wiped out the Tangiwai rail bridge moments before an overnight Wellington to Auckland express was due. There are also a large number of dormant and extinct volcanoes dotted across the landscape. It is a place of extremes and surprises, a place to explore and remember. From herb fields to forests, from tranquil lakes to desert-like plateau and active volcanoes. The landscape has served as a backdrop for many New Zealand films, most notably serving as Mordor (with the help of computer graphics) in Peter Jackson's The Lord of the Rings trilogy.",1051,Wikivoyage,https://en.wikivoyage.org/wiki/Tongariro_National_Park,,,tongariro-national-park-5,"Crater lake on top of Mt Ruapehu, Tongariro national park, New Zealand",Wikivoyage,https://en.wikivoyage.org/wiki/Tongariro_National_Park
81,toro-toro-national-park,Torotoro National Park,Torotoro,3,"Torotoro National Park is situated in the Northern Potosí department, 140 km south of Cochabamba and only accessible by gravel roads and riverbeds, which takes six hours in the dry season and much longer in the rainy season when sometimes the route becomes completely impassable. Torotoro National Park covers 165 km² and is located at 18° 7' S and 65° 46' W in a semi-arid landscape at altitudes between 2000 and 3500 m above sea level, with canyons as deep as 300 meters. The park features caves, Paleozoic and Cretaceous calcitic deposits with fossils, and panoramic landscapes eroded by glaciers, wind and waters. The Torotoro National Park offers scrubby woodland with wildlife like flocks of parakeets and the red-fronted macaw. Sub-Andean climate has a cold winter from June to August, and a rainy season from December to March.",835,Wikivoyage,https://en.wikivoyage.org/wiki/Torotoro_National_Park,,,toro-toro-national-park-3,"Cave at Ciudad de Itas (Itas City), Torotoro National Park in Potosi, Bolivia",Wikivoyage,https://en.wikivoyage.org/wiki/Torotoro_National_Park
83,virgin-islands-national-park,Virgin Islands National Park,Virgin Islands,4,"Virgin Islands National Park is a United States National Park on Saint John in the U.S. Virgin Islands. Civilizations lived on St. John as early as 1100, as evidenced by the petroglyphs, or rock carvings left by the Taino people. These carvings are found especially on the Reef Bay hiking trail. These people were all but driven into extinction by Europeans in the 17th century seeking new territories as colonial properties. Much of the vegetation on Saint John is second generation growth. Almost the entire Island was clear-cut to make way for sugar cane production during the colonial era. Some native species like the tyre palm remain, but much growth today are introduced species. The only mammal known to be native to the island of St. John is the bat. Climate is temperate year-round ranging from low eighties during the winter to the low to mid nineties in summers.",874,Wikivoyage,https://en.wikivoyage.org/wiki/Virgin_Islands_National_Park,,,virgin-islands-national-park-2,Wild iguana crossing the open space in tropical island,Wikivoyage,https://en.wikivoyage.org/wiki/Virgin_Islands_National_Park
84,wrangell-st-elias-national-park-and-preserve,Wrangell-St. Elias National Park & Preserve,Wrangell-St. Elias,8,"Wrangell-St. Elias National Park, with over 13 million acres, is the largest United States National Park. It is also a UNESCO World Heritage site. Located in Alaska, the park has no trails and you'll find no Princess Bus Lines (yet). It is a beautifully glaciated, vast and amazing place. You can drive the washboarded McCarthy Road from Chitina to McCarthy and access the park from there. You cannot drive your car into McCarthy. Once at the end of the road you'll find a footbridge that will lead you into ""downtown"". Kennicott, an old copper mining town is located 5 miles down the road from McCarthy. Nizina is the other access point. It is worth the price to flight-see as the views are amazing. If time and wallet allow, the best way to get into the back country in via small plane. Base camping or a point-to-point hike might very well become the best memory of your Alaskan adventure.",892,Wikivoyage,https://en.wikivoyage.org/wiki/Wrangell-St._Elias_National_Park_and_Preserve,,,wrangell-st-elias-national-park-and-preserve-7,"Hike in Wrangell-St. Elias National Park, Alaska",Wikivoyage,https://en.wikivoyage.org/wiki/Wrangell-St._Elias_National_Park_and_Preserve
85,yala-national-park,Yala National Park,Yala,13,"Yala National Park (also known as Ruhunu National Park) is the most visited and second largest national park in Sri Lanka. Actually it consists of five blocks, two of which are now open to the public; and also adjoining parks. It is situated in the southeast region of the country, and lies in Southern Province and Uva Province. The park covers 979 square kilometres (378 sq mi) and is located about 300 kilometres (190 mi) from Colombo. Yala was designated as a wildlife sanctuary in 1900, and, along with Wilpattu it was one of the first two national parks in Sri Lanka, having been designated in 1938. The park is best known for its variety of wild animals. It is important for the conservation of Sri Lankan Elephants and aquatic birds.",741,Wikivoyage,https://en.wikivoyage.org/wiki/Yala_National_Park,,,yala-national-park-2,Sri Lanka: group of wild elephants at jungle drinking place of Yala National Park,Wikivoyage,https://en.wikivoyage.org/wiki/Yala_National_Park
86,zion-national-park,Zion National Park,Zion,25,"Even among America's National Parks, few can match the stunning beauty of Zion National Park. Situated between the Dixie and Canyon Country regions of southern Utah, the park protects a series of incredible rock formations and high sandstone cliffs, and is a favorite spot for hiking, backpacking, canyoneering and climbing. In fact, Zion has some of the most spectacular trails in the National Park System. Unlike many other parks in the American Southwest, where visitors look down from the rim of a canyon, visitors to Zion walk on the canyon floor and look up. In addition to the magnificent monoliths and cliffs, the park is known for its desert landscape of sandstone canyons, mesas, and high plateaus. Zion National Park encompasses some of the most scenic canyon country in the United States. The park is characterized by high plateaus, a maze of narrow, deep, sandstone canyons and striking rock towers and mesas. The North Fork of the Virgin River has carved a spectacular gorge in the park called the Zion Narrows. The canyon walls in some places rise 2000–3000 feet above the canyon floor. The southern part of the park is a lower desert area where colorful mesas border rocky canyons and washes. The northern sections of the park are higher plateaus covered by forests. To the east is amazing slickrock country and a vast array of unpaved trails, hidden canyons and peaks to explore.",1396,Wikivoyage,https://en.wikivoyage.org/wiki/Zion_National_Park,,,zion-national-park-7,Zion National Park Fall Colors at Sunset,Wikivoyage,https://en.wikivoyage.org/wiki/Zion_National_Park
87,bohemian-switzerland-national-park,Bohemian Switzerland,Bohemian Switzerland,15,"The region along the right side of the Elbe became a national park on January 1, 2000, the České Švýcarsko National Park. The National Park is adjacent to the Saxon Switzerland National Park (Sächsische Schweiz) in Germany. As early as 1972, the whole of Bohemian Switzerland was placed under protection. When, in 1990, the status of Saxon Switzerland was raised to that of a national park, efforts were stepped up to place the Bohemian part of the Elbe Sandstone Mountains under national park protection as well. A plan devised in 1991 envisaged that this would also include the Růžovský vrch (formerly Rosenberg). This plan was heavily resisted by various groups, such as the owners of hunting land and the forestry industry. A compromise proposal also fell on stony ground. In 1999 the Czech government decided to create the Bohemian Switzerland National Park (Národní park České Švýcarsko) to its originally envisaged extent. On 1 January 2000 the valuable forest and rock landscape, the gorges of the Kamnitz and the area around the Růžovský vrch were given national park status. The headquarters of the national park authority is located in Krásná Lípa (Schönlinde), and there are information offices in Hřensko (Herrnskretschen) and Jetřichovice (Dittersbach).",1267,Wikivoyage,https://en.wikivoyage.org/wiki/Bohemian_Switzerland_National_Park,,,bohemian-switzerland-national-park-5,"Pravcicka Gate in autumn colors, Bohemian Saxon Switzerland, Czech Republic",Wikivoyage,https://en.wikivoyage.org/wiki/Bohemian_Switzerland_National_Park
